obs_id,source_frame,source_message,source_range,source_observation,raw_time,raw_tag_id,anchor_id,raw_z_m,fp_rssi,rx_rssi,valid,validity_reason,suspected_nlos,planned,keyframe_id,nominal_sigma_m,strategy_used
7453396160191555269,0,73,0,365,1664959681.4310582,27956,7475,3.2200000286102295,-33.029998779296875,-29.209999084472656,1,VALID,0,1,0,0.14999999999999999,1
7453395060679927058,0,73,1,366,1664959681.4310582,27956,20276,3.75,-35.779998779296875,-28.940000534057617,1,VALID,0,1,0,0.14999999999999999,1
7453393961168298847,0,73,2,367,1664959681.4310582,27956,9524,4.130000114440918,-34.200000762939453,-27.059999465942383,1,VALID,0,1,0,0.14999999999999999,1
7453392861656670636,0,73,3,368,1664959681.4310582,27956,10548,3.5499999523162842,-32.209999084472656,-29.75,1,VALID,0,1,0,0.14999999999999999,1
7453391762145042425,0,73,4,369,1664959681.4310582,27956,15155,1.6399999856948853,-33.169998168945312,-30.979999542236328,1,VALID,0,1,0,0.14999999999999999,1
5233417777749862626,1,74,0,370,1664959681.4860234,27956,7475,3.2100000381469727,-33.630001068115234,-29.950000762939453,1,VALID,0,0,,,0
5233418877261490837,1,74,1,371,1664959681.4860234,27956,20276,3.7699999809265137,-35.080001831054688,-30.409999847412109,1,VALID,0,0,,,0
5233415578726606204,1,74,2,372,1664959681.4860234,27956,9524,4.130000114440918,-35.290000915527344,-27.219999313354492,1,VALID,1,0,,,0
5233416678238234415,1,74,3,373,1664959681.4860234,27956,10548,3.5899999141693115,-32.349998474121094,-30.329999923706055,1,VALID,0,0,,,0
5233413379703349782,1,74,4,374,1664959681.4860234,27956,15155,1.6799999475479126,-31.940000534057617,-30.440000534057617,1,VALID,0,0,,,0
15896017359460861159,2,75,0,375,1664959681.5361936,27956,7475,3.2100000381469727,-33.630001068115234,-29.950000762939453,1,VALID,0,0,,,0
15896016259949232948,2,75,1,376,1664959681.5361936,27956,20276,3.7699999809265137,-35.080001831054688,-30.409999847412109,1,VALID,0,0,,,0
15896019558484117581,2,75,2,377,1664959681.5361936,27956,9524,4.130000114440918,-35.290000915527344,-27.219999313354492,1,VALID,1,0,,,0
15896018458972489370,2,75,3,378,1664959681.5361936,27956,10548,3.5899999141693115,-32.349998474121094,-30.329999923706055,1,VALID,0,0,,,0
15896012961414348315,2,75,4,379,1664959681.5361936,27956,15155,1.6799999475479126,-31.940000534057617,-30.440000534057617,1,VALID,0,0,,,0
17431547309411265452,3,76,0,380,1664959681.6119428,27956,7475,3.2400000095367432,-34.209999084472656,-30.440000534057617,1,VALID,0,0,,,0
17431548408922893663,3,76,1,381,1664959681.6119428,27956,20276,3.7599999904632568,-34.610000610351562,-29.889999389648438,1,VALID,0,0,,,0
17431549508434521874,3,76,2,382,1664959681.6119428,27956,9524,4.119999885559082,-35.810001373291016,-27.090000152587891,1,VALID,1,0,,,0
17431550607946150085,3,76,3,383,1664959681.6119428,27956,10548,3.5899999141693115,-32.270000457763672,-30.280000686645508,1,VALID,0,0,,,0
17431542911364752608,3,76,4,384,1664959681.6119428,27956,15155,1.6200000047683716,-32.189998626708984,-30.420000076293945,1,VALID,0,0,,,0
9110727387993885817,4,77,0,385,1664959681.6634033,27956,7475,3.2400000095367432,-34.209999084472656,-30.440000534057617,1,VALID,0,1,1,0.21562235243216274,1
9110726288482257606,4,77,1,386,1664959681.6634033,27956,20276,3.7599999904632568,-34.610000610351562,-29.889999389648438,1,VALID,0,1,1,0.21562235243216274,1
9110725188970629395,4,77,2,387,1664959681.6634033,27956,9524,4.119999885559082,-35.810001373291016,-27.090000152587891,1,VALID,1,1,1,0.21562235243216274,1
9110724089459001184,4,77,3,388,1664959681.6634033,27956,10548,3.5899999141693115,-32.270000457763672,-30.280000686645508,1,VALID,0,1,1,0.21562235243216274,1
9110731786040398661,4,77,4,389,1664959681.6634033,27956,15155,1.6200000047683716,-32.189998626708984,-30.420000076293945,1,VALID,0,1,1,0.21562235243216274,1
3764221337915702582,5,78,0,390,1664959681.7378263,27956,7475,3.2100000381469727,-33.330001831054688,-29.610000610351562,1,VALID,0,0,,,0
3764222437427330793,5,78,1,391,1664959681.7378263,27956,20276,3.75,-34.75,-30.559999465942383,1,VALID,0,0,,,0
3764219138892446160,5,78,2,392,1664959681.7378263,27956,9524,4.0999999046325684,-34.790000915527344,-27.190000534057617,1,VALID,0,0,,,0
3764220238404074371,5,78,3,393,1664959681.7378263,27956,10548,3.5699999332427979,-32.689998626708984,-30.229999542236328,1,VALID,0,0,,,0
3764225735962215426,5,78,4,394,1664959681.7378263,27956,15155,1.6699999570846558,-33.639999389648438,-31.049999237060547,1,VALID,0,0,,,0
11155732082462876411,6,79,0,395,1664959681.7872291,27956,7475,3.2100000381469727,-33.330001831054688,-29.610000610351562,1,VALID,0,0,,,0
11155730982951248200,6,79,1,396,1664959681.7872291,27956,20276,3.75,-34.75,-30.559999465942383,1,VALID,0,0,,,0
11155734281486132833,6,79,2,397,1664959681.7872291,27956,9524,4.0999999046325684,-34.790000915527344,-27.190000534057617,1,VALID,0,0,,,0
11155733181974504622,6,79,3,398,1664959681.7872291,27956,10548,3.5699999332427979,-32.689998626708984,-30.229999542236328,1,VALID,0,0,,,0
11155736480509389255,6,79,4,399,1664959681.7872291,27956,15155,1.6699999570846558,-33.639999389648438,-31.049999237060547,1,VALID,0,0,,,0
3984107021715436447,7,80,0,400,1664959681.8620186,27956,7475,3.2100000381469727,-33.189998626708984,-29.409999847412109,1,VALID,0,0,,,0
3984105922203808236,7,80,1,401,1664959681.8620186,27956,20276,3.7799999713897705,-34.110000610351562,-30.799999237060547,1,VALID,0,0,,,0
3984109220738692869,7,80,2,402,1664959681.8620186,27956,9524,4.0999999046325684,-35.259998321533203,-27.069999694824219,1,VALID,1,0,,,0
3984108121227064658,7,80,3,403,1664959681.8620186,27956,10548,3.5699999332427979,-33.75,-31.450000762939453,1,VALID,0,0,,,0
3984102623668923603,7,80,4,404,1664959681.8620186,27956,15155,1.6599999666213989,-33.060001373291016,-31.309999465942383,1,VALID,0,0,,,0
14726196790221379258,8,81,0,405,1664959681.9125128,27956,7475,3.2100000381469727,-33.189998626708984,-29.409999847412109,1,VALID,0,1,2,0.22378615415616032,1
14726197889733007469,8,81,1,406,1664959681.9125128,27956,20276,3.7799999713897705,-34.110000610351562,-30.799999237060547,1,VALID,0,1,2,0.22378615415616032,1
14726194591198122836,8,81,2,407,1664959681.9125128,27956,9524,4.0999999046325684,-35.259998321533203,-27.069999694824219,1,VALID,1,1,2,0.22378615415616032,1
14726195690709751047,8,81,3,408,1664959681.9125128,27956,10548,3.5699999332427979,-33.75,-31.450000762939453,1,VALID,0,1,2,0.22378615415616032,1
14726192392174866414,8,81,4,409,1664959681.9125128,27956,15155,1.6599999666213989,-33.060001373291016,-31.309999465942383,1,VALID,0,1,2,0.22378615415616032,1
5241600268195824849,9,82,0,410,1664959681.9871702,27956,7475,3.2100000381469727,-34.080001831054688,-30.079999923706055,1,VALID,0,0,,,0
5241599168684196638,9,82,1,411,1664959681.9871702,27956,20276,3.7999999523162842,-34.470001220703125,-30.649999618530273,1,VALID,0,0,,,0
5241598069172568427,9,82,2,412,1664959681.9871702,27956,9524,4.1500000953674316,-34.5,-27.040000915527344,1,VALID,0,0,,,0
5241596969660940216,9,82,3,413,1664959681.9871702,27956,10548,3.5899999141693115,-32.970001220703125,-30.75,1,VALID,0,0,,,0
5241604666242337693,9,82,4,414,1664959681.9871702,27956,15155,1.6599999666213989,-33.060001373291016,-31.309999465942383,0,PROTOCOL_INVALID_RA_ZERO,0,0,,,0
16930456894510849988,10,83,0,415,1664959682.0371842,27956,7475,3.2100000381469727,-34.080001831054688,-30.079999923706055,1,VALID,0,0,,,0
16930457994022478199,10,83,1,416,1664959682.0371842,27956,20276,3.7999999523162842,-34.470001220703125,-30.649999618530273,1,VALID,0,0,,,0
16930459093534106410,10,83,2,417,1664959682.0371842,27956,9524,4.1500000953674316,-34.5,-27.040000915527344,1,VALID,0,0,,,0
16930460193045734621,10,83,3,418,1664959682.0371842,27956,10548,3.5899999141693115,-32.970001220703125,-30.75,1,VALID,0,0,,,0
16930452496464337144,10,83,4,419,1664959682.0371842,27956,15155,1.6599999666213989,-33.060001373291016,-31.309999465942383,0,PROTOCOL_INVALID_RA_ZERO,0,0,,,0
10521025910352020363,11,84,0,420,1664959682.112859,27956,7475,3.2100000381469727,-34.450000762939453,-30.600000381469727,1,VALID,0,0,,,0
10521024810840392152,11,84,1,421,1664959682.112859,27956,20276,3.7899999618530273,-32.830001831054688,-28.930000305175781,1,VALID,0,0,,,0
10521028109375276785,11,84,2,422,1664959682.112859,27956,9524,4.130000114440918,-34.650001525878906,-27.059999465942383,1,VALID,0,0,,,0
10521027009863648574,11,84,3,423,1664959682.112859,27956,10548,3.5799999237060547,-31.930000305175781,-29.930000305175781,1,VALID,0,0,,,0
10521030308398533207,11,84,4,424,1664959682.112859,27956,15155,1.7000000476837158,-32.569999694824219,-30.600000381469727,1,VALID,0,0,,,0
14950032787998875078,12,85,0,425,1664959682.1632497,27956,7475,3.2100000381469727,-34.450000762939453,-30.600000381469727,1,VALID,0,1,3,0.22459248925009667,1
14950033887510503289,12,85,1,426,1664959682.1632497,27956,20276,3.7899999618530273,-32.830001831054688,-28.930000305175781,1,VALID,0,1,3,0.22459248925009667,1
14950030588975618656,12,85,2,427,1664959682.1632497,27956,9524,4.130000114440918,-34.650001525878906,-27.059999465942383,1,VALID,0,1,3,0.22459248925009667,1
14950031688487246867,12,85,3,428,1664959682.1632497,27956,10548,3.5799999237060547,-31.930000305175781,-29.930000305175781,1,VALID,0,1,3,0.22459248925009667,1
14950037186045387922,12,85,4,429,1664959682.1632497,27956,15155,1.7000000476837158,-32.569999694824219,-30.600000381469727,1,VALID,0,1,3,0.22459248925009667,1
4015401770881762877,13,86,0,430,1664959682.2350466,27956,7475,3.2300000190734863,-34.479999542236328,-30.379999160766602,0,PROTOCOL_INVALID_RA_ZERO,0,0,,,0
4015400671370134666,13,86,1,431,1664959682.2350466,27956,20276,3.7599999904632568,-33.470001220703125,-29.450000762939453,0,PROTOCOL_INVALID_RA_ZERO,0,0,,,0
4015399571858506455,13,86,2,432,1664959682.2350466,27956,9524,4.130000114440918,-34.650001525878906,-27.059999465942383,0,PROTOCOL_INVALID_RA_ZERO,0,0,,,0
4015398472346878244,13,86,3,433,1664959682.2350466,27956,10548,3.5799999237060547,-31.930000305175781,-29.930000305175781,0,PROTOCOL_INVALID_RA_ZERO,0,0,,,0
4015397372835250033,13,86,4,434,1664959682.2350466,27956,15155,1.7000000476837158,-32.569999694824219,-30.600000381469727,0,PROTOCOL_INVALID_RA_ZERO,0,0,,,0
799081571646237616,14,87,0,435,1664959682.2851031,27956,7475,3.2400000095367432,-34.380001068115234,-29.799999237060547,1,VALID,0,0,,,0
799082671157865827,14,87,1,436,1664959682.2851031,27956,20276,3.7899999618530273,-34.409999847412109,-31.030000686645508,1,VALID,0,0,,,0
799083770669494038,14,87,2,437,1664959682.2851031,27956,9524,4.1100001335144043,-35.380001068115234,-27.110000610351562,1,VALID,1,0,,,0
799084870181122249,14,87,3,438,1664959682.2851031,27956,10548,3.5299999713897705,-32.209999084472656,-29.829999923706055,1,VALID,0,0,,,0
799085969692750460,14,87,4,439,1664959682.2851031,27956,15155,1.6699999570846558,-33.569999694824219,-31.239999771118164,1,VALID,0,0,,,0
174169123768095799,15,88,0,440,1664959682.3361137,27956,7475,3.2400000095367432,-34.380001068115234,-29.799999237060547,1,VALID,0,0,,,0
174168024256467588,15,88,1,441,1664959682.3361137,27956,20276,3.7899999618530273,-34.409999847412109,-31.030000686645508,1,VALID,0,0,,,0
174171322791352221,15,88,2,442,1664959682.3361137,27956,9524,4.1100001335144043,-35.380001068115234,-27.110000610351562,1,VALID,1,0,,,0
174170223279724010,15,88,3,443,1664959682.3361137,27956,10548,3.5299999713897705,-32.209999084472656,-29.829999923706055,1,VALID,0,0,,,0
174164725721582955,15,88,4,444,1664959682.3361137,27956,15155,1.6699999570846558,-33.569999694824219,-31.239999771118164,1,VALID,0,0,,,0
12045547273212448370,16,89,0,445,1664959682.3900185,27956,7475,3.2100000381469727,-33.240001678466797,-29.329999923706055,1,VALID,0,0,,,0
12045548372724076581,16,89,1,446,1664959682.3900185,27956,20276,3.7899999618530273,-34.650001525878906,-31.389999389648438,1,VALID,0,0,,,0
12045545074189191948,16,89,2,447,1664959682.3900185,27956,9524,4.1100001335144043,-36.049999237060547,-27.040000915527344,1,VALID,1,0,,,0
12045546173700820159,16,89,3,448,1664959682.3900185,27956,10548,3.5699999332427979,-32.389999389648438,-30.479999542236328,1,VALID,0,0,,,0
12045542875165935526,16,89,4,449,1664959682.3900185,27956,15155,1.6799999475479126,-32.430000305175781,-30.280000686645508,1,VALID,0,0,,,0
2356421300844356328,17,90,0,450,1664959682.4400816,27956,7475,3.2100000381469727,-33.240001678466797,-29.329999923706055,1,VALID,0,1,4,0.23782428775265935,1
2356422400355984539,17,90,1,451,1664959682.4400816,27956,20276,3.7899999618530273,-34.650001525878906,-31.389999389648438,1,VALID,0,1,4,0.23782428775265935,1
2356423499867612750,17,90,2,452,1664959682.4400816,27956,9524,4.1100001335144043,-36.049999237060547,-27.040000915527344,1,VALID,1,1,4,0.23782428775265935,1
2356424599379240961,17,90,3,453,1664959682.4400816,27956,10548,3.5699999332427979,-32.389999389648438,-30.479999542236328,1,VALID,0,1,4,0.23782428775265935,1
2356425698890869172,17,90,4,454,1664959682.4400816,27956,15155,1.6799999475479126,-32.430000305175781,-30.280000686645508,1,VALID,0,1,4,0.23782428775265935,1
6890743567902314645,18,91,0,455,1664959682.5143831,27956,7475,3.1800000667572021,-35.080001831054688,-30.430000305175781,1,VALID,0,0,,,0
6890742468390686434,18,91,1,456,1664959682.5143831,27956,20276,3.7699999809265137,-34.080001831054688,-30.889999389648438,1,VALID,0,0,,,0
6890741368879058223,18,91,2,457,1664959682.5143831,27956,9524,4.1399998664855957,-36.049999237060547,-27.139999389648438,1,VALID,1,0,,,0
6890740269367430012,18,91,3,458,1664959682.5143831,27956,10548,3.5899999141693115,-31.780000686645508,-29.700000762939453,1,VALID,0,0,,,0
6890739169855801801,18,91,4,459,1664959682.5143831,27956,15155,1.7599999904632568,-33.040000915527344,-30.989999771118164,1,VALID,0,0,,,0
5928047708218318046,19,92,0,460,1664959682.5651002,27956,7475,3.1800000667572021,-35.080001831054688,-30.430000305175781,1,VALID,0,0,,,0
5928048807729946257,19,92,1,461,1664959682.5651002,27956,20276,3.7699999809265137,-34.080001831054688,-30.889999389648438,1,VALID,0,0,,,0
5928045509195061624,19,92,2,462,1664959682.5651002,27956,9524,4.1399998664855957,-36.049999237060547,-27.139999389648438,1,VALID,1,0,,,0
5928046608706689835,19,92,3,463,1664959682.5651002,27956,10548,3.5899999141693115,-31.780000686645508,-29.700000762939453,1,VALID,0,0,,,0
5928052106264830890,19,92,4,464,1664959682.5651002,27956,15155,1.7599999904632568,-33.040000915527344,-30.989999771118164,1,VALID,0,0,,,0
17321748342030320067,20,93,0,465,1664959682.6405067,27956,7475,3.2300000190734863,-33.580001831054688,-29.520000457763672,1,VALID,0,0,,,0
17321747242518691856,20,93,1,466,1664959682.6405067,27956,20276,3.7699999809265137,-34.080001831054688,-30.889999389648438,0,PROTOCOL_INVALID_RA_ZERO,0,0,,,0
17321750541053576489,20,93,2,467,1664959682.6405067,27956,9524,4.119999885559082,-35.830001831054688,-27.030000686645508,1,VALID,1,0,,,0
17321749441541948278,20,93,3,468,1664959682.6405067,27956,10548,3.5699999332427979,-32.970001220703125,-31.299999237060547,1,VALID,0,0,,,0
17321752740076832911,20,93,4,469,1664959682.6405067,27956,15155,1.7599999904632568,-33.700000762939453,-31.270000457763672,1,VALID,0,0,,,0
2913316089398270588,21,94,0,470,1664959682.6911221,27956,7475,3.2300000190734863,-33.580001831054688,-29.520000457763672,1,VALID,0,1,5,0.22474312437275556,1
2913317188909898799,21,94,1,471,1664959682.6911221,27956,20276,3.7699999809265137,-34.080001831054688,-30.889999389648438,0,PROTOCOL_INVALID_RA_ZERO,0,0,,,0
2913318288421527010,21,94,2,472,1664959682.6911221,27956,9524,4.119999885559082,-35.830001831054688,-27.030000686645508,1,VALID,1,1,5,0.22474312437275556,1
2913319387933155221,21,94,3,473,1664959682.6911221,27956,10548,3.5699999332427979,-32.139999389648438,-29.5,1,VALID,0,1,5,0.22474312437275556,1
2913311691351757744,21,94,4,474,1664959682.6911221,27956,15155,1.7599999904632568,-33.700000762939453,-31.270000457763672,1,VALID,0,1,5,0.22474312437275556,1
9238431253611041609,22,95,0,475,1664959682.7673264,27956,7475,3.25,-33.540000915527344,-29.719999313354492,1,VALID,0,0,,,0
9238430154099413398,22,95,1,476,1664959682.7673264,27956,20276,3.7699999809265137,-33.470001220703125,-29.739999771118164,1,VALID,0,0,,,0
9238429054587785187,22,95,2,477,1664959682.7673264,27956,9524,4.130000114440918,-34.130001068115234,-26.75,1,VALID,0,0,,,0
9238427955076156976,22,95,3,478,1664959682.7673264,27956,10548,3.5699999332427979,-32.139999389648438,-29.5,0,PROTOCOL_INVALID_RA_ZERO,0,0,,,0
9238435651657554453,22,95,4,479,1664959682.7673264,27956,15155,1.75,-33.509998321533203,-31.399999618530273,1,VALID,0,0,,,0
4034982097110011186,23,96,0,480,1664959682.8180978,27956,7475,3.25,-33.540000915527344,-29.719999313354492,1,VALID,0,0,,,0
4034983196621639397,23,96,1,481,1664959682.8180978,27956,20276,3.7699999809265137,-33.470001220703125,-29.739999771118164,1,VALID,0,0,,,0
4034979898086754764,23,96,2,482,1664959682.8180978,27956,9524,4.130000114440918,-34.130001068115234,-26.75,1,VALID,0,0,,,0
4034980997598382975,23,96,3,483,1664959682.8180978,27956,10548,3.5699999332427979,-32.139999389648438,-29.5,0,PROTOCOL_INVALID_RA_ZERO,0,0,,,0
4034977699063498342,23,96,4,484,1664959682.8180978,27956,15155,1.75,-33,-30.780000686645508,1,VALID,0,0,,,0
3551323705961185783,24,97,0,485,1664959682.8957012,27956,7475,3.2200000286102295,-32.979999542236328,-28.989999771118164,1,VALID,0,0,,,0
3551322606449557572,24,97,1,486,1664959682.8957012,27956,20276,3.7799999713897705,-34.240001678466797,-30.920000076293945,1,VALID,0,0,,,0
3551325904984442205,24,97,2,487,1664959682.8957012,27956,9524,4.179999828338623,-33.380001068115234,-26.979999542236328,1,VALID,0,0,,,0
3551324805472813994,24,97,3,488,1664959682.8957012,27956,10548,3.559999942779541,-31.489999771118164,-29.670000076293945,1,VALID,0,0,,,0
3551319307914672939,24,97,4,489,1664959682.8957012,27956,15155,1.75,-33.419998168945312,-31.079999923706055,1,VALID,0,0,,,0
17405543503719540848,25,98,0,490,1664959682.9461508,27956,7475,3.2200000286102295,-32.979999542236328,-28.989999771118164,1,VALID,0,1,6,0.22673004055926743,1
17405544603231169059,25,98,1,491,1664959682.9461508,27956,20276,3.7799999713897705,-34.240001678466797,-30.920000076293945,1,VALID,0,1,6,0.3692220159176382,1
17405545702742797270,25,98,2,492,1664959682.9461508,27956,9524,4.179999828338623,-33.380001068115234,-26.979999542236328,1,VALID,0,1,6,0.22673004055926743,1
17405546802254425481,25,98,3,493,1664959682.9461508,27956,10548,3.559999942779541,-31.489999771118164,-29.670000076293945,1,VALID,0,1,6,0.22673004055926743,1
17405547901766053692,25,98,4,494,1664959682.9461508,27956,15155,1.75,-33.419998168945312,-31.079999923706055,1,VALID,0,1,6,0.22673004055926743,1
14494990683260085757,26,99,0,495,1664959683.0224886,27956,7475,3.2300000190734863,-34.220001220703125,-29.979999542236328,1,VALID,0,0,,,0
14494989583748457546,26,99,1,496,1664959683.0224886,27956,20276,3.7899999618530273,-34.779998779296875,-31.5,1,VALID,0,0,,,0
14494988484236829335,26,99,2,497,1664959683.0224886,27956,9524,4.1500000953674316,-34.569999694824219,-28.389999389648438,1,VALID,0,0,,,0
14494987384725201124,26,99,3,498,1664959683.0224886,27956,10548,3.559999942779541,-31.489999771118164,-29.670000076293945,0,PROTOCOL_INVALID_RA_ZERO,0,0,,,0
14494986285213572913,26,99,4,499,1664959683.0224886,27956,15155,1.809999942779541,-32.430000305175781,-30.420000076293945,1,VALID,0,0,,,0
9550883640399908180,27,100,0,500,1664959683.0732892,27956,7475,3.2300000190734863,-34.220001220703125,-29.979999542236328,1,VALID,0,0,,,0
9550884739911536391,27,100,1,501,1664959683.0732892,27956,20276,3.7899999618530273,-34.779998779296875,-31.5,1,VALID,0,0,,,0
9550885839423164602,27,100,2,502,1664959683.0732892,27956,9524,4.1500000953674316,-33.270000457763672,-26.5,1,VALID,0,0,,,0
9550886938934792813,27,100,3,503,1664959683.0732892,27956,10548,3.559999942779541,-31.489999771118164,-29.670000076293945,0,PROTOCOL_INVALID_RA_ZERO,0,0,,,0
