run_id,git_commit,dataset_family,recording_id,method,canonical_method,complete_config_hash,detector_provider,recovery_policy,start_time,end_time,status,failure_reason,backend_status,wall_time_s,output_trajectory_path,parent_cache_id,execution_type,evaluator_protocol_hash
not-run-5906930f3fb241f2b027b0fd60e434b4,439282c2790ab1414ca9b276dd61a18b5e1643a8,ISAS,ISAS-Walk1,M0,all_range,a298fcee774281d10205e9366674e2a41f7b312ee0e15b7b96d100cbc0be145f,DISABLED,NONE,,,failure,Python 3.8 lacks str.removeprefix; first preflight failed before estimator,NOT_RUN,0,,,BASELINE_TRAJECTORY,4dab6d7473084e227db8844c41b80e55104e15df95c531d09597e0cf6c096746
not-run-5ebce6cc0a034abfb0cbc85d182bfd33,439282c2790ab1414ca9b276dd61a18b5e1643a8,ISAS,ISAS-Walk1,M1,robust_cauchy,233b1048c99f894cf391ed9d9230869e4268d770ecf2128c0362a6317176bcbc,DISABLED,NONE,,,failure,Python 3.8 lacks str.removeprefix; first preflight failed before estimator,NOT_RUN,0,,,BASELINE_TRAJECTORY,4dab6d7473084e227db8844c41b80e55104e15df95c531d09597e0cf6c096746
not-run-64b7faa700db42249aae4348fa6bd723,439282c2790ab1414ca9b276dd61a18b5e1643a8,ISAS,ISAS-Walk1,M3,suppress_all,16ae222c8dfb5d843cea5d3018f43bcbc4f6cbd4e3421fd3f8be1c2ab23b53e2,PL_BIDIRECTIONAL_CUSUM_V1,suppress_all,,,failure,Python 3.8 lacks str.removeprefix; first preflight failed before estimator,NOT_RUN,0,,,FINAL_TRAJECTORY,4dab6d7473084e227db8844c41b80e55104e15df95c531d09597e0cf6c096746
not-run-a95bddb37aa94574aafaef476b1b6034,439282c2790ab1414ca9b276dd61a18b5e1643a8,ISAS,ISAS-Walk1,M4,lcb_fixed_full,00b060970558eaf8c2445f17c2e9a7ab35f595f73f08127b539e0a311e821267,PL_BIDIRECTIONAL_CUSUM_V1,lcb_fixed_full,,,failure,Python 3.8 lacks str.removeprefix; first preflight failed before estimator,NOT_RUN,0,,,FINAL_TRAJECTORY,4dab6d7473084e227db8844c41b80e55104e15df95c531d09597e0cf6c096746
not-run-55f7043a3208459d9de136532e646528,439282c2790ab1414ca9b276dd61a18b5e1643a8,ISAS,ISAS-Walk1,AUX_STAGE2_PRODUCER,structured_debias,3d72cc755f7845623a47e0cd867e02a11b90d623a142370a0bc6f10b6ac6e242,PL_BIDIRECTIONAL_CUSUM_V1,NONE,,,failure,Python 3.8 lacks str.removeprefix; first preflight failed before estimator,NOT_RUN,0,,,CACHE_PRODUCER,4dab6d7473084e227db8844c41b80e55104e15df95c531d09597e0cf6c096746
