inference_id,obs_id,classification,final_factor_count,expected_count,ok
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,70000,ACCEPTED_CANDIDATE_RAW_WITH_FIXED_OFFSET,1,1,1
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,70001,ACCEPTED_CANDIDATE_RAW_WITH_FIXED_OFFSET,1,1,1
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,70002,NONCANDIDATE_REFERENCE,1,1,1
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,70003,NONCANDIDATE_REFERENCE,1,1,1
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,70004,ACCEPTED_CANDIDATE_RAW_WITH_FIXED_OFFSET,1,1,1
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,70005,ACCEPTED_CANDIDATE_RAW_WITH_FIXED_OFFSET,1,1,1
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,70006,NONCANDIDATE_REFERENCE,1,1,1
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,70007,NONCANDIDATE_REFERENCE,1,1,1
