inference_id,key,role,coordinates,row,column,covariance
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,b1,IMU_BIAS,IMU_BAX_BAY_BAZ_BGX_BGY_BGZ,4,4,0.01
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,b1,IMU_BIAS,IMU_BAX_BAY_BAZ_BGX_BGY_BGZ,4,5,0
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,b1,IMU_BIAS,IMU_BAX_BAY_BAZ_BGX_BGY_BGZ,5,0,0
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,b1,IMU_BIAS,IMU_BAX_BAY_BAZ_BGX_BGY_BGZ,5,1,0
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,b1,IMU_BIAS,IMU_BAX_BAY_BAZ_BGX_BGY_BGZ,5,2,0
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,b1,IMU_BIAS,IMU_BAX_BAY_BAZ_BGX_BGY_BGZ,5,3,0
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,b1,IMU_BIAS,IMU_BAX_BAY_BAZ_BGX_BGY_BGZ,5,4,0
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,b1,IMU_BIAS,IMU_BAX_BAY_BAZ_BGX_BGY_BGZ,5,5,0.01
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,v0,TRAJECTORY_VELOCITY,WORLD_VX_VY_VZ,0,0,0.01
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,v0,TRAJECTORY_VELOCITY,WORLD_VX_VY_VZ,0,1,0
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,v0,TRAJECTORY_VELOCITY,WORLD_VX_VY_VZ,0,2,0
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,v0,TRAJECTORY_VELOCITY,WORLD_VX_VY_VZ,1,0,0
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,v0,TRAJECTORY_VELOCITY,WORLD_VX_VY_VZ,1,1,0.01
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,v0,TRAJECTORY_VELOCITY,WORLD_VX_VY_VZ,1,2,0
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,v0,TRAJECTORY_VELOCITY,WORLD_VX_VY_VZ,2,0,0
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,v0,TRAJECTORY_VELOCITY,WORLD_VX_VY_VZ,2,1,0
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,v0,TRAJECTORY_VELOCITY,WORLD_VX_VY_VZ,2,2,0.01
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,v1,TRAJECTORY_VELOCITY,WORLD_VX_VY_VZ,0,0,0.01
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,v1,TRAJECTORY_VELOCITY,WORLD_VX_VY_VZ,0,1,0
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,v1,TRAJECTORY_VELOCITY,WORLD_VX_VY_VZ,0,2,0
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,v1,TRAJECTORY_VELOCITY,WORLD_VX_VY_VZ,1,0,0
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,v1,TRAJECTORY_VELOCITY,WORLD_VX_VY_VZ,1,1,0.01
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,v1,TRAJECTORY_VELOCITY,WORLD_VX_VY_VZ,1,2,0
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,v1,TRAJECTORY_VELOCITY,WORLD_VX_VY_VZ,2,0,0
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,v1,TRAJECTORY_VELOCITY,WORLD_VX_VY_VZ,2,1,0
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,v1,TRAJECTORY_VELOCITY,WORLD_VX_VY_VZ,2,2,0.01
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,x0,TRAJECTORY_POSE,GTSAM_POSE3_LOCAL_RX_RY_RZ_TX_TY_TZ,0,0,9.9997026015065832e-05
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,x0,TRAJECTORY_POSE,GTSAM_POSE3_LOCAL_RX_RY_RZ_TX_TY_TZ,0,1,-4.5601451128930151e-09
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,x0,TRAJECTORY_POSE,GTSAM_POSE3_LOCAL_RX_RY_RZ_TX_TY_TZ,0,2,8.0297070024410686e-09
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,x0,TRAJECTORY_POSE,GTSAM_POSE3_LOCAL_RX_RY_RZ_TX_TY_TZ,0,3,-6.2430031270657021e-08
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,x0,TRAJECTORY_POSE,GTSAM_POSE3_LOCAL_RX_RY_RZ_TX_TY_TZ,0,4,9.9026079445765672e-08
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,x0,TRAJECTORY_POSE,GTSAM_POSE3_LOCAL_RX_RY_RZ_TX_TY_TZ,0,5,3.3115445012665203e-08
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,x0,TRAJECTORY_POSE,GTSAM_POSE3_LOCAL_RX_RY_RZ_TX_TY_TZ,1,0,-4.560145112893016e-09
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,x0,TRAJECTORY_POSE,GTSAM_POSE3_LOCAL_RX_RY_RZ_TX_TY_TZ,1,1,9.9972731405558824e-05
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,x0,TRAJECTORY_POSE,GTSAM_POSE3_LOCAL_RX_RY_RZ_TX_TY_TZ,1,2,-1.8102166095669614e-08
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,x0,TRAJECTORY_POSE,GTSAM_POSE3_LOCAL_RX_RY_RZ_TX_TY_TZ,1,3,-3.3476362947743017e-07
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,x0,TRAJECTORY_POSE,GTSAM_POSE3_LOCAL_RX_RY_RZ_TX_TY_TZ,1,4,-8.0592572130239238e-08
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,x0,TRAJECTORY_POSE,GTSAM_POSE3_LOCAL_RX_RY_RZ_TX_TY_TZ,1,5,2.0573321848753851e-07
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,x0,TRAJECTORY_POSE,GTSAM_POSE3_LOCAL_RX_RY_RZ_TX_TY_TZ,2,0,8.0297070024410686e-09
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,x0,TRAJECTORY_POSE,GTSAM_POSE3_LOCAL_RX_RY_RZ_TX_TY_TZ,2,1,-1.8102166095669617e-08
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,x0,TRAJECTORY_POSE,GTSAM_POSE3_LOCAL_RX_RY_RZ_TX_TY_TZ,2,2,9.9932698215844033e-05
