inference_id,factor_index,obs_id,factor_type,segment_id,residual_coordinate,residual_value
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,3,70000,uwb_fixed_offset_range,r07-segment-0,0,-5.5839777246546873e-11
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,4,70001,uwb_fixed_offset_range,r07-segment-1,0,-5.1305626413977734e-11
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,5,70002,uwb_range,,0,-1.2718714970105793e-12
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,6,70003,uwb_range,,0,-2.233768725545815e-12
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,10,70004,uwb_fixed_offset_range,r07-segment-0,0,-5.5693227807296353e-11
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,11,70005,uwb_fixed_offset_range,r07-segment-1,0,-5.1144866120012011e-11
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,12,70006,uwb_range,,0,-1.0800249583553523e-12
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,13,70007,uwb_range,,0,-2.3305801732931286e-12
