recording,delta_RR_m,delta_RR_NLOS_m,interpretation,fallback,common_samples,comparison_status,four_method_common_samples
default_1_random3_0,,,NA,,0,UNAVAILABLE,0
default_1_circular3D_0,,,NA,,0,UNAVAILABLE,0
