call,trial_in_call,total_trial,lambda_before,lambda_after,delta_norm,error_before,error_native_trial,status,fidelity_lower_binary64,accepted_total,rejected_total,unresolved_total,elapsed_s,artifact
1,1,1,1.0000000000000001e-05,1.0000000000000002e-06,0.0055605169517476639,4.1562036761715673,3.9905846662992221,ACCEPT,1.0003995724614418,1,0,0,0.002150215,call1_trial1
2,1,2,1.0000000000000002e-06,1.0000000000000002e-07,2.5648316327405748e-06,3.9905846662992221,3.9905846309514774,ACCEPT,1.0006008273742752,2,0,0,0.0016538849999999999,call2_trial1
3,1,3,1.0000000000000002e-07,1.0000000000000002e-08,2.9036535576188627e-09,3.9905846309514774,3.9905846309514783,ACCEPT,1.00026496171287,3,0,0,0.0014711500000000001,call3_trial1
