seed,scenario,condition,policy,status,valid_estimate,decision_use_count,final_use_count,historical_rmse_m,historical_p95_m,historical_matches,full_rmse_m,full_p95_m,delta_rmse_vs_suppress_m,delta_p95_vs_suppress_m,decision_accepted_bias_rmse_m,final_accepted_bias_rmse_m,decision_bad_correction_rate,final_bad_correction_rate,candidate_use_coverage,fallback_attempted,algorithm_failure
20101,step2,A,suppress_all,ZERO_ACCEPTED,True,0,0,0.00872534203556151,0.013711891519405354,16,0.013737035677705983,0.024162661508132195,0.0,0.0,,,,,0.0,False,
20101,step2,A,structured_debias,OK,True,32,32,0.009471582300685573,0.014577265539564134,16,0.014388008885765696,0.02527394282002749,0.000746240265124062,0.0008653740201587795,0.012893157301223564,0.012893157063643653,0.0,0.0,1.0,False,
20101,step2,A,fit_only,OK,True,32,32,0.009471582300685573,0.014577265539564134,16,0.014388008885765696,0.02527394282002749,0.000746240265124062,0.0008653740201587795,0.012893157301223564,0.012893157063643653,0.0,0.0,1.0,False,
20101,step2,A,s_fit,OK,True,32,32,0.009471582300685573,0.014577265539564134,16,0.014388008885765696,0.02527394282002749,0.000746240265124062,0.0008653740201587795,0.012893157301223564,0.012893157063643653,0.0,0.0,1.0,False,
20101,step2,A,full_gate,OK,True,32,32,0.009471582300685573,0.014577265539564134,16,0.014388008885765696,0.02527394282002749,0.000746240265124062,0.0008653740201587795,0.012893157301223564,0.012893157063643653,0.0,0.0,1.0,False,
20101,step2,B,suppress_all,ZERO_ACCEPTED,True,0,0,0.016758777010522842,0.02168494907398274,16,0.031265989915576727,0.062384244776936874,0.0,0.0,,,,,0.0,False,
20101,step2,B,structured_debias,OK,True,32,32,0.01806638004308533,0.023420823198348727,16,0.032157567538060046,0.06278763866470534,0.0013076030325624884,0.001735874124365988,0.023290780173914175,0.023290778365236218,0.0,0.0,1.0,False,
20101,step2,B,fit_only,OK,True,32,32,0.01806638004308533,0.023420823198348727,16,0.032157567538060046,0.06278763866470534,0.0013076030325624884,0.001735874124365988,0.023290780173914175,0.023290778365236218,0.0,0.0,1.0,False,
20101,step2,B,s_fit,OK,True,32,32,0.01806638004308533,0.023420823198348727,16,0.032157567538060046,0.06278763866470534,0.0013076030325624884,0.001735874124365988,0.023290780173914175,0.023290778365236218,0.0,0.0,1.0,False,
20101,step2,B,full_gate,OK,True,32,32,0.01806638004308533,0.023420823198348727,16,0.032157567538060046,0.06278763866470534,0.0013076030325624884,0.001735874124365988,0.023290780173914175,0.023290778365236218,0.0,0.0,1.0,False,
20101,step2,C,suppress_all,ZERO_ACCEPTED,True,0,0,0.013264642920456544,0.02209417558070002,8,0.03110127718594533,0.056238794891710006,0.0,0.0,,,,,0.0,False,
