tag_id,anchor_id,start_s,end_s,count,mean_error_m
1,4,130.032213564,132.171326443,66,0.9390247670746471
1,6,34.383038962,39.548369991,156,0.7504291683324845
1,6,61.273400267,63.892484582,79,0.910641895211801
1,6,83.406533823,86.7151394,102,0.821021194923421
1,6,123.34267474,130.82464753,223,0.8522637196067913
1,6,132.569501613,136.350049806,100,0.72843470086547
1,6,153.441684199,158.322674294,147,0.7980119046994336
1,6,183.578346639,185.751935739,66,0.6610127011451165
1,7,72.749953852,75.109519237,71,0.6592307815788827
1,7,128.156665385,132.18268666,122,0.9496169609887174
1,10,128.294729683,132.158893433,117,0.8853164145530594
1,11,128.364800242,132.162732823,115,0.847225798453998
