tag_id,anchor_id,start_s,end_s,count,mean_error_m
1,6,14.60677567,17.443954243,85,0.7874252338573875
1,6,67.666998559,77.236144233,280,0.600462004420549
1,6,78.460111021,93.127973282,409,0.6140545204616414
1,6,141.596878173,143.763095744,65,0.5418073622647774
1,7,0.0260257,19.172264894,549,0.727884529684744
1,7,112.63853852,114.797567829,64,0.892342537666752
1,7,118.452528365,126.562323426,238,0.8064009975403794
1,7,153.148910494,158.903605186,167,0.5729283916459346
1,7,161.375447775,164.019861721,79,0.5362608944271976
1,7,164.085239388,170.921360264,201,0.5721085612604115
1,7,203.713620121,218.116747376,385,0.6918742848634931
1,10,15.613097644,17.901376275,68,0.7502601563871234
1,10,23.808584478,27.849593546,117,0.6657046899825256
1,10,207.061920351,211.894357121,142,0.9060559236766592
