inference_id,obs_id,classification,final_factor_count,expected_count,ok
t08inference-sha256:8987100be12fb80fe42ac29fa4048a44b02f902bb76125760008038b1274d20d,70000,SUPPRESSED_CANDIDATE,0,0,1
t08inference-sha256:8987100be12fb80fe42ac29fa4048a44b02f902bb76125760008038b1274d20d,70001,SUPPRESSED_CANDIDATE,0,0,1
t08inference-sha256:8987100be12fb80fe42ac29fa4048a44b02f902bb76125760008038b1274d20d,70002,NONCANDIDATE_REFERENCE,1,1,1
t08inference-sha256:8987100be12fb80fe42ac29fa4048a44b02f902bb76125760008038b1274d20d,70003,NONCANDIDATE_REFERENCE,1,1,1
t08inference-sha256:8987100be12fb80fe42ac29fa4048a44b02f902bb76125760008038b1274d20d,70004,SUPPRESSED_CANDIDATE,0,0,1
t08inference-sha256:8987100be12fb80fe42ac29fa4048a44b02f902bb76125760008038b1274d20d,70005,SUPPRESSED_CANDIDATE,0,0,1
t08inference-sha256:8987100be12fb80fe42ac29fa4048a44b02f902bb76125760008038b1274d20d,70006,NONCANDIDATE_REFERENCE,1,1,1
t08inference-sha256:8987100be12fb80fe42ac29fa4048a44b02f902bb76125760008038b1274d20d,70007,NONCANDIDATE_REFERENCE,1,1,1
