inference_id,factor_index,obs_id,factor_type,segment_id,residual_coordinate,residual_value
t08inference-sha256:8987100be12fb80fe42ac29fa4048a44b02f902bb76125760008038b1274d20d,3,70002,uwb_range,,0,8.8817841970012523e-16
t08inference-sha256:8987100be12fb80fe42ac29fa4048a44b02f902bb76125760008038b1274d20d,4,70003,uwb_range,,0,-0
t08inference-sha256:8987100be12fb80fe42ac29fa4048a44b02f902bb76125760008038b1274d20d,8,70006,uwb_range,,0,-0
t08inference-sha256:8987100be12fb80fe42ac29fa4048a44b02f902bb76125760008038b1274d20d,9,70007,uwb_range,,0,-0
