phase,execution_status,solver_status,stop_reason,acceptance_audit_status,acceptance_failure_reason,outer_iteration,conditional_lm_iterations,conditional_lm_inner_iterations,conditional_lm_lambda,objective_before,objective_after,relative_objective_change,scaled_state_step,max_kkt_violation,max_scaled_navigation_gradient_objective,navigation_gradient_roundoff_allowance_objective,navigation_stationarity_tolerance_objective,allowed_objective_increase,objective_ok,step_ok,kkt_ok,navigation_stationarity_ok
RECOVERY_ATTEMPT,INVALIDATED_TEST_ONLY,CONVERGED,ALL_CANDIDATES_SUPPRESSED_RAW_STAGE2_ALL_APPLICABLE_STOP_CONDITIONS_SATISFIED,FAILED_BEFORE_SCORE,TEST_ONLY_FORCED_RECOVERY_FAILURE,1,3,3,1.0000000000000002e-08,4.1562036761715673,3.9905846309514783,0.039848635467414531,0.0036382891372125567,0,4.077318205286673e-08,9.9316372336939105e-13,9.9999999999999995e-07,5.9063206608862619e-14,0,0,1,1
RECOVERY_ATTEMPT,INVALIDATED_TEST_ONLY,CONVERGED,ALL_CANDIDATES_SUPPRESSED_RAW_STAGE2_ALL_APPLICABLE_STOP_CONDITIONS_SATISFIED,FAILED_BEFORE_SCORE,TEST_ONLY_FORCED_RECOVERY_FAILURE,2,1,1,1.0000000000000002e-06,3.9905846309514783,3.9905846309514628,3.8949486810022203e-15,3.8062886176248867e-12,0,7.3828568258882399e-11,9.9316372328252517e-13,9.9999999999999995e-07,5.6709618419169463e-14,1,1,1,1
