run_id,git_commit,dataset_family,recording_id,method,canonical_method,complete_config_hash,detector_provider,recovery_policy,start_time,end_time,status,failure_reason,backend_status,wall_time_s,output_trajectory_path,parent_cache_id,execution_type,evaluator_protocol_hash
t09-fc15a00c956c4cf1b2f72ee3d6ded967,439282c2790ab1414ca9b276dd61a18b5e1643a8,ISAS,ISAS-Walk1,M0,all_range,79c88bc280bfb95da8ba72ba3055f0e101fbe02fb0e21c69d6f669fb081123a0,DISABLED,NONE,2026-09-12T09:21:40.857035+00:00,2026-09-12T09:21:42.118155+00:00,success,,OK,1.2606556129976525,/home/mint/ws_fusion_uwb/src/uwb-imu-fusion-ie/experiments/results/walk1-clean-20260912T092140Z-2732b6b82486/batch/runs/t09-fc15a00c956c4cf1b2f72ee3d6ded967/trajectory.tum,,BASELINE_TRAJECTORY,4dab6d7473084e227db8844c41b80e55104e15df95c531d09597e0cf6c096746
t09-1d2c9bfb0b124beaa4780a72063ec888,439282c2790ab1414ca9b276dd61a18b5e1643a8,ISAS,ISAS-Walk1,M1,robust_cauchy,dc30a19aae7212e38fce48689cef37a52d0a7c06a079f3965ab116930c1e5206,DISABLED,NONE,2026-09-12T09:21:42.132050+00:00,2026-09-12T09:21:43.530782+00:00,success,,OK,1.398275442996237,/home/mint/ws_fusion_uwb/src/uwb-imu-fusion-ie/experiments/results/walk1-clean-20260912T092140Z-2732b6b82486/batch/runs/t09-1d2c9bfb0b124beaa4780a72063ec888/trajectory.tum,,BASELINE_TRAJECTORY,4dab6d7473084e227db8844c41b80e55104e15df95c531d09597e0cf6c096746
t09-e4f938fe43c94d8391839b230454fa1b,439282c2790ab1414ca9b276dd61a18b5e1643a8,ISAS,ISAS-Walk1,M3,suppress_all,a2e94f5e49e60eaaa63754349662cc32200e27f86d8e6ee16a1fe9d3220a82b2,PL_BIDIRECTIONAL_CUSUM_V1,suppress_all,2026-09-12T09:21:45.284686+00:00,2026-09-12T09:21:45.668163+00:00,success,,NO_CANDIDATES,0.3831596549935057,/home/mint/ws_fusion_uwb/src/uwb-imu-fusion-ie/experiments/results/walk1-clean-20260912T092140Z-2732b6b82486/batch/runs/t09-e4f938fe43c94d8391839b230454fa1b/trajectory.tum,t09stage2cache-sha256:bc405b2373961cfcb068f717683cb906868ddd63163b47ba0a30f93fa3777b8f,FINAL_TRAJECTORY,4dab6d7473084e227db8844c41b80e55104e15df95c531d09597e0cf6c096746
t09-d061e1c6edd440f6ac2a9175cccde2b3,439282c2790ab1414ca9b276dd61a18b5e1643a8,ISAS,ISAS-Walk1,M4,lcb_fixed_full,e761f958167057b174e81297a588420a254381cafd57196ab1f3982d2e89615d,PL_BIDIRECTIONAL_CUSUM_V1,lcb_fixed_full,2026-09-12T09:21:45.683453+00:00,2026-09-12T09:21:46.057846+00:00,success,,NO_CANDIDATES,0.3740696029999526,/home/mint/ws_fusion_uwb/src/uwb-imu-fusion-ie/experiments/results/walk1-clean-20260912T092140Z-2732b6b82486/batch/runs/t09-d061e1c6edd440f6ac2a9175cccde2b3/trajectory.tum,t09stage2cache-sha256:bc405b2373961cfcb068f717683cb906868ddd63163b47ba0a30f93fa3777b8f,FINAL_TRAJECTORY,4dab6d7473084e227db8844c41b80e55104e15df95c531d09597e0cf6c096746
t09-f73c2594ded54d13a4b068faf8ff1f3b,439282c2790ab1414ca9b276dd61a18b5e1643a8,ISAS,ISAS-Walk1,AUX_STAGE2_PRODUCER,structured_debias,0fa08cd79c2760eb33a1a69da606d8608a8aa04cc3b57d583c70e199a863ac43,PL_BIDIRECTIONAL_CUSUM_V1,NONE,2026-09-12T09:21:43.546671+00:00,2026-09-12T09:21:45.260505+00:00,success,,NO_CANDIDATES,1.7134459770022659,/home/mint/ws_fusion_uwb/src/uwb-imu-fusion-ie/experiments/results/walk1-clean-20260912T092140Z-2732b6b82486/batch/runs/t09-f73c2594ded54d13a4b068faf8ff1f3b/trajectory.tum,t09stage2cache-sha256:bc405b2373961cfcb068f717683cb906868ddd63163b47ba0a30f93fa3777b8f,CACHE_PRODUCER,4dab6d7473084e227db8844c41b80e55104e15df95c531d09597e0cf6c096746
