chain_index,iteration,objective,primal_residual_m,primal_threshold_m,dual_residual_objective_per_m,dual_threshold_objective_per_m,max_kkt_violation_objective_per_m,max_tv_subgradient_violation_objective_per_m,rho_objective_per_m2
0,1,0.078281339784592466,0.016810351218230955,4.0288738366844279e-07,0.13349097658664308,4.0813696886263885e-07,0.13189645348554402,0.072615814983699012,19.557303067114255
0,2,0.077822539880802372,0.002256557923596551,3.93896166876551e-07,0.050963374399282287,4.3919276674074114e-07,0.028960874752961274,0.1254535893525493,19.557303067114255
0,3,0.077665694602154001,0.00043104026512560994,3.9492340618443487e-07,0.030402353609046244,4.4551803440978326e-07,0.017991656783525989,0.12275045637364398,19.557303067114255
0,4,0.077663437899792534,0.0002016803044998245,3.9550144336505024e-07,0.015853792737934771,4.4486040284552619e-07,0.009277489811276865,0.17919617393396778,19.557303067114255
0,5,0.077662809893626894,0.0002444576627771261,3.9581488840943184e-07,0.0080548577179812668,4.4513492853336791e-07,0.0041535113718332572,0.17823097780224556,19.557303067114255
0,6,0.077654731591772372,0.00020168711130051843,3.9598040562856458e-07,0.0042093045759710951,4.4552984538116161e-07,0.002697049470915508,0.17774613068134881,19.557303067114255
0,7,0.077644749036450272,0.00013466971021259205,3.9606544172929982e-07,0.0028404776330712401,4.4579847860758411e-07,0.0016968866496350488,0.17753878715199428,19.557303067114255
0,8,0.077635810984286957,7.3536117939902252e-05,3.9610784348792007e-07,0.0022779104616065691,4.4595575700377779e-07,0.001271229416678149,0.17747957366514952,19.557303067114255
0,9,0.077629499237957922,2.9963265738505302e-05,3.961282775215043e-07,0.0017364133802475889,4.4606703229846149e-07,0.00098482971901153737,0.13413656719360004,19.557303067114255
0,10,0.077626328345685419,9.382434739705609e-06,3.9613771992769021e-07,0.0011827686590368761,4.4616862655974057e-07,0.00065586902015865589,0.13413021677247267,19.557303067114255
0,11,0.077627773181330031,1.3166862258830443e-05,3.961418407313588e-07,0.00072791757218155389,4.4626376935058597e-07,0.00035125793171678077,0.13270997212502286,19.557303067114255
0,12,0.077628047019992069,1.4694941669217947e-05,3.9614348881877079e-07,0.0004435488619064724,4.4634159750828105e-07,0.00024958653283581729,0.13251489022643154,19.557303067114255
0,13,0.077627677474561174,1.2027590443122204e-05,3.9614405416130158e-07,0.00032199988388908395,4.4639305943417336e-07,0.00018403369379980437,0.1323541644566445,19.557303067114255
0,14,0.077627094518484568,7.8767427375803919e-06,3.9614419071907311e-07,0.00027270628935854169,4.4641710372972706e-07,0.00013682793112171593,0.13224735944118388,19.557303067114255
0,15,0.077626551464997182,4.055330736660399e-06,3.9614418925634192e-07,0.00022632876169306277,4.4641959296798544e-07,0.00012338383170065748,0.13219103549345107,19.557303067114255
0,16,0.077626194000490395,1.458353149201607e-06,3.9614416574721871e-07,0.00017339833637342893,4.4640935771062341e-07,9.6090031655060582e-05,0.1778627150002518,19.557303067114255
0,17,0.077626130099971657,8.7821696252136405e-07,3.9614415571909819e-07,0.00012457951061073126,4.4639458586000777e-07,6.2879178779062794e-05,0.17785295652513861,19.557303067114255
0,18,0.077626225122554002,1.2190825100214659e-06,3.9614416131457608e-07,8.854355603140562e-05,4.4638087269290883e-07,4.4041388989696079e-05,0.17784282401334733,19.557303067114255
0,19,0.077626207189193011,1.1676834082124206e-06,3.9614417428527413e-07,6.6318081558841994e-05,4.4637089817496908e-07,3.469900370085033e-05,0.17783536181370657,19.557303067114255
0,20,0.077626140350963407,8.6842390543601881e-07,3.9614418632820445e-07,5.2866560919758258e-05,4.463650954321202e-07,2.7588737910805136e-05,0.17783132379006433,19.557303067114255
