obs_id,tag_id,anchor_id,chain_id,active_run_id,sensor_time,nominal_weight,b_disc_m
7453396160191555269,27956,7475,1,1,1664959681.4310582,44.444444444444443,0.029631718968001382
9110727387993885817,27956,7475,1,1,1664959681.6634033,21.508614723497793,0.059605540408744953
14726196790221379258,27956,7475,1,1,1664959681.9125128,19.967954311907786,0.064145581268386306
14950032787998875078,27956,7475,1,1,1664959682.1632497,19.824833234270574,0.092213166919124345
2356421300844356328,27956,7475,1,1,1664959682.4400816,17.680216974793559,0.1047232329475294
2913316089398270588,27956,7475,1,1,1664959682.6911221,19.798266767348633,0.11968445389025328
17405543503719540848,27956,7475,1,1,1664959682.9461508,19.452788661725137,0.11968445391414059
11006767651046447178,27956,7475,1,1,1664959683.199219,19.621776179742813,0.11968445391911448
1108924520470877275,27956,7475,1,1,1664959683.4822745,17.209013055879325,0.11956850166481629
236152679527023718,27956,7475,1,1,1664959683.7360885,19.557303067114255,0.11956850166768548
5012272508393671386,27956,7475,1,1,1664959683.9917653,19.397287711824486,0.097686370111767437
17283173166809643582,27956,7475,1,0,1664959684.2461708,19.506332409584953,0
7453393961168298847,27956,9524,2,0,1664959681.4310582,44.444444444444443,0
9110725188970629395,27956,9524,2,0,1664959681.6634033,21.508614723497793,0
14726194591198122836,27956,9524,2,0,1664959681.9125128,19.967954311907786,0
14950030588975618656,27956,9524,2,0,1664959682.1632497,19.824833234270574,0
2356423499867612750,27956,9524,2,0,1664959682.4400816,17.680216974793559,0
2913318288421527010,27956,9524,2,0,1664959682.6911221,19.798266767348633,0
17405545702742797270,27956,9524,2,2,1664959682.9461508,19.452788661725137,0.043319183993861171
11006765452023190756,27956,9524,2,2,1664959683.199219,19.621776179742813,0.058179967327837465
1108926719494133697,27956,9524,2,2,1664959683.4822745,17.209013055879325,0.02957367215308495
236150480503767296,27956,9524,2,0,1664959683.7360885,19.557303067114255,0.011438843623600571
5012270309370414964,27956,9524,2,0,1664959683.9917653,19.397287711824486,0
17283170967786387160,27956,9524,2,0,1664959684.2461708,19.506332409584953,0
7453392861656670636,27956,10548,3,3,1664959681.4310582,44.444444444444443,0.21892554455296309
9110724089459001184,27956,10548,3,3,1664959681.6634033,21.508614723497793,0.24672600393375543
14726195690709751047,27956,10548,3,3,1664959681.9125128,19.967954311907786,0.23142742963555765
14950031688487246867,27956,10548,3,3,1664959682.1632497,19.824833234270574,0.23142742964416324
2356424599379240961,27956,10548,3,3,1664959682.4400816,17.680216974793559,0.21321998865383318
2913319387933155221,27956,10548,3,3,1664959682.6911221,19.798266767348633,0.20611371590180536
17405546802254425481,27956,10548,3,3,1664959682.9461508,19.452788661725137,0.20169979201693919
11006766551534818967,27956,10548,3,3,1664959683.199219,19.621776179742813,0.21712906227641687
1108925619982505486,27956,10548,3,3,1664959683.4822745,17.209013055879325,0.23747077014188084
7453391762145042425,27956,15155,4,4,1664959681.4310582,44.444444444444443,0.050713581232753553
9110731786040398661,27956,15155,4,0,1664959681.6634033,21.508614723497793,0.012134824990065737
14726192392174866414,27956,15155,4,0,1664959681.9125128,19.967954311907786,0.0097601541500868232
14950037186045387922,27956,15155,4,0,1664959682.1632497,19.824833234270574,0.0097601541500185254
2356425698890869172,27956,15155,4,0,1664959682.4400816,17.680216974793559,0
2913311691351757744,27956,15155,4,5,1664959682.6911221,19.798266767348633,0.063887189114052445
17405547901766053692,27956,15155,4,5,1664959682.9461508,19.452788661725137,0.063887189121174998
11006763252999934334,27956,15155,4,5,1664959683.199219,19.621776179742813,0.073012345512602078
1108928918517390119,27956,15155,4,5,1664959683.4822745,17.209013055879325,0.091193477967056708
236157077573536562,27956,15155,4,5,1664959683.7360885,19.557303067114255,0.051730830317296556
5012268110347158542,27956,15155,4,0,1664959683.9917653,19.397287711824486,0
17283177564856156426,27956,15155,4,0,1664959684.2461708,19.506332409584953,0
7453395060679927058,27956,20276,5,6,1664959681.4310582,44.444444444444443,0.039027043131373229
9110726288482257606,27956,20276,5,6,1664959681.6634033,21.508614723497793,0.047504681572283769
14726197889733007469,27956,20276,5,6,1664959681.9125128,19.967954311907786,0.065076834537733677
14950033887510503289,27956,20276,5,6,1664959682.1632497,19.824833234270574,0.065076834548999818
2356422400355984539,27956,20276,5,6,1664959682.4400816,17.680216974793559,0.065076834573998155
17405544603231169059,27956,20276,5,6,1664959682.9461508,7.3354172401770885,0.049525773760786311
1108923420959249064,27956,20276,5,6,1664959683.4822745,6.6557477282190698,0.049525773753397735
236153779038651929,27956,20276,5,6,1664959683.7360885,19.557303067114255,0.11810976415560373
5012273607905299597,27956,20276,5,6,1664959683.9917653,19.397287711824486,0.16955240323306978
17283174266321271793,27956,20276,5,6,1664959684.2461708,19.506332409584953,0.17901504460560697
