inference_id,obs_id,candidate,noncandidate_reference,decision_use,final_use,fallback_use,segment_id,group_id,reason_code
t08inference-sha256:f449b27074315d841c9141ab0dff83a06e5809844e7cb7bc4105c3ccb95a7ad4,70000,1,0,1,1,0,r07-segment-0,group_0,USE_POSITIVE_LCB_FIXED_OFFSET
t08inference-sha256:f449b27074315d841c9141ab0dff83a06e5809844e7cb7bc4105c3ccb95a7ad4,70001,1,0,1,1,0,r07-segment-1,group_0,USE_POSITIVE_LCB_FIXED_OFFSET
t08inference-sha256:f449b27074315d841c9141ab0dff83a06e5809844e7cb7bc4105c3ccb95a7ad4,70002,0,1,0,1,0,,,NONCANDIDATE_REFERENCE
t08inference-sha256:f449b27074315d841c9141ab0dff83a06e5809844e7cb7bc4105c3ccb95a7ad4,70003,0,1,0,1,0,,,NONCANDIDATE_REFERENCE
t08inference-sha256:f449b27074315d841c9141ab0dff83a06e5809844e7cb7bc4105c3ccb95a7ad4,70004,1,0,1,1,0,r07-segment-0,group_0,USE_POSITIVE_LCB_FIXED_OFFSET
t08inference-sha256:f449b27074315d841c9141ab0dff83a06e5809844e7cb7bc4105c3ccb95a7ad4,70005,1,0,1,1,0,r07-segment-1,group_0,USE_POSITIVE_LCB_FIXED_OFFSET
t08inference-sha256:f449b27074315d841c9141ab0dff83a06e5809844e7cb7bc4105c3ccb95a7ad4,70006,0,1,0,1,0,,,NONCANDIDATE_REFERENCE
t08inference-sha256:f449b27074315d841c9141ab0dff83a06e5809844e7cb7bc4105c3ccb95a7ad4,70007,0,1,0,1,0,,,NONCANDIDATE_REFERENCE
