inference_id,phase,group_id,segment_ordinal,segment_id,evaluated,gamma,gamma_available,short_support_debug,boundary,linearization_id,status
t08inference-sha256:424f079b6b0161c751ded6ccf65389189932e473c72c5dfe4a8c2dc454c6c8d9,RECOVERY_ATTEMPT,group_0,0,,0,,0,,,NOT_RUN,RECOVERY_SCORE_NOT_RUN_DUE_TO_PRIOR_FAILURE
t08inference-sha256:424f079b6b0161c751ded6ccf65389189932e473c72c5dfe4a8c2dc454c6c8d9,RECOVERY_ATTEMPT,group_0,1,,0,,0,,,NOT_RUN,RECOVERY_SCORE_NOT_RUN_DUE_TO_PRIOR_FAILURE
