inference_id,obs_id,classification,final_factor_count,expected_count,ok
t08inference-sha256:424f079b6b0161c751ded6ccf65389189932e473c72c5dfe4a8c2dc454c6c8d9,70000,SUPPRESSED_CANDIDATE,0,0,1
t08inference-sha256:424f079b6b0161c751ded6ccf65389189932e473c72c5dfe4a8c2dc454c6c8d9,70001,SUPPRESSED_CANDIDATE,0,0,1
t08inference-sha256:424f079b6b0161c751ded6ccf65389189932e473c72c5dfe4a8c2dc454c6c8d9,70002,NONCANDIDATE_REFERENCE,1,1,1
t08inference-sha256:424f079b6b0161c751ded6ccf65389189932e473c72c5dfe4a8c2dc454c6c8d9,70003,NONCANDIDATE_REFERENCE,1,1,1
t08inference-sha256:424f079b6b0161c751ded6ccf65389189932e473c72c5dfe4a8c2dc454c6c8d9,70004,SUPPRESSED_CANDIDATE,0,0,1
t08inference-sha256:424f079b6b0161c751ded6ccf65389189932e473c72c5dfe4a8c2dc454c6c8d9,70005,SUPPRESSED_CANDIDATE,0,0,1
t08inference-sha256:424f079b6b0161c751ded6ccf65389189932e473c72c5dfe4a8c2dc454c6c8d9,70006,NONCANDIDATE_REFERENCE,1,1,1
t08inference-sha256:424f079b6b0161c751ded6ccf65389189932e473c72c5dfe4a8c2dc454c6c8d9,70007,NONCANDIDATE_REFERENCE,1,1,1
