tag_id,anchor_id,start_s,end_s,count,mean_error_m
1,6,15.883310891,21.839230061,180,0.7765923716886467
1,6,63.162991973,72.016739264,262,0.7548033117218131
1,7,31.831331495,35.105321851,87,0.7084086348967441
1,7,80.068507669,82.795880717,84,0.7564199113424941
